"kind","totalItems","items__kind","items__id","items__etag","items__selfLink","items__volumeInfo__title","items__volumeInfo__subtitle","items__volumeInfo__authors__001","items__volumeInfo__authors__002","items__volumeInfo__authors__003","items__volumeInfo__authors__004","items__volumeInfo__publisher","items__volumeInfo__publishedDate","items__volumeInfo__description","items__volumeInfo__industryIdentifiers__type","items__volumeInfo__industryIdentifiers__identifier","items__volumeInfo__readingModes__text","items__volumeInfo__readingModes__image","items__volumeInfo__pageCount","items__volumeInfo__printType","items__volumeInfo__categories__-","items__volumeInfo__averageRating","items__volumeInfo__ratingsCount","items__volumeInfo__maturityRating","items__volumeInfo__allowAnonLogging","items__volumeInfo__contentVersion","items__volumeInfo__panelizationSummary__containsEpubBubbles","items__volumeInfo__panelizationSummary__containsImageBubbles","items__volumeInfo__imageLinks__smallThumbnail","items__volumeInfo__imageLinks__thumbnail","items__volumeInfo__language","items__volumeInfo__previewLink","items__volumeInfo__infoLink","items__volumeInfo__canonicalVolumeLink","items__saleInfo__country","items__saleInfo__saleability","items__saleInfo__isEbook","items__saleInfo__listPrice__amount","items__saleInfo__listPrice__currencyCode","items__saleInfo__retailPrice__amount","items__saleInfo__retailPrice__currencyCode","items__saleInfo__buyLink","items__saleInfo__offers__finskyOfferType","items__saleInfo__offers__|","items__saleInfo__offers__|__amountInMicros","items__saleInfo__offers__|__currencyCode","items__accessInfo__country","items__accessInfo__viewability","items__accessInfo__embeddable","items__accessInfo__publicDomain","items__accessInfo__textToSpeechPermission","items__accessInfo__epub__isAvailable","items__accessInfo__epub__acsTokenLink","items__accessInfo__pdf__isAvailable","items__accessInfo__pdf__acsTokenLink","items__accessInfo__webReaderLink","items__accessInfo__accessViewStatus","items__accessInfo__quoteSharingAllowed","items__searchInfo__textSnippet"
"books#volumes","1000000","books#volume","iiEEEAAAQBAJ","RgYlZLMoZUI","https://www.googleapis.com/books/v1/volumes/iiEEEAAAQBAJ","Data Science and Analytics (with Python, R and SPSS Programming)","","V.K. Jain","","","","KHANNA PUBLISHING HOUSE","","The Book has been written completely as per AICTE recommended syllabus on ""Data Sciences"". SALIENT FEATURES OF THE BOOK: Explains how data is collected, managed and stored for data science. With complete courseware for understand the key concepts in data science including their real-world applications and the toolkit used by data scientists. Implement data collection and management. Provided with state of the arts subjectwise. With all required tutorials on R, Python and Bokeh, Anaconda, IBM SPSS-21 and Matplotlib.","ISBN_13","9789386173676","False","True","275","BOOK","Computers","","","NOT_MATURE","True","0.1.2.0.preview.1","False","False","http://books.google.com/books/content?id=iiEEEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=iiEEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=iiEEEAAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=1&source=gbs_api","https://play.google.com/store/books/details?id=iiEEEAAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=iiEEEAAAQBAJ","IN","FOR_SALE","True","352.82","INR","246.97","INR","https://play.google.com/store/books/details?id=iiEEEAAAQBAJ&rdid=book-iiEEEAAAQBAJ&rdot=1&source=gbs_api","1","listPrice","352820000","INR","IN","PARTIAL","True","False","ALLOWED","False","","True","http://books.google.co.in/books/download/Data_Science_and_Analytics_with_Python_R-sample-pdf.acsm?id=iiEEEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","http://play.google.com/books/reader?id=iiEEEAAAQBAJ&hl=&source=gbs_api","SAMPLE","False","The Book has been written completely as per AICTE recommended syllabus on &quot;Data Sciences&quot;. SALIENT FEATURES OF THE BOOK: Explains how data is collected, managed and stored for data science."
"","","","","","","","","","","","","","","","ISBN_10","9386173670","","","","","","","","","","","","","","","","","","","","","","","","","","","","retailPrice","246970000","INR","","","","","","","","","","","","",""
"","","books#volume","UlpVDwAAQBAJ","ceMpxUzcjYs","https://www.googleapis.com/books/v1/volumes/UlpVDwAAQBAJ","Data Science","","John D. Kelleher","Brendan Tierney","","","MIT Press","2018-04-13","A concise introduction to the emerging field of data science, explaining its evolution, relation to machine learning, current uses, data infrastructure issues, and ethical challenges. The goal of data science is to improve decision making through the analysis of data. Today data science determines the ads we see online, the books and movies that are recommended to us online, which emails are filtered into our spam folders, and even how much we pay for health insurance. This volume in the MIT Press Essential Knowledge series offers a concise introduction to the emerging field of data science, explaining its evolution, current uses, data infrastructure issues, and ethical challenges. It has never been easier for organizations to gather, store, and process data. Use of data science is driven by the rise of big data and social media, the development of high-performance computing, and the emergence of such powerful methods for data analysis and modeling as deep learning. Data science encompasses a set of principles, problem definitions, algorithms, and processes for extracting non-obvious and useful patterns from large datasets. It is closely related to the fields of data mining and machine learning, but broader in scope. This book offers a brief history of the field, introduces fundamental data concepts, and describes the stages in a data science project. It considers data infrastructure and the challenges posed by integrating data from multiple sources, introduces the basics of machine learning, and discusses how to link machine learning expertise with real-world problems. The book also reviews ethical and legal issues, developments in data regulation, and computational approaches to preserving privacy. Finally, it considers the future impact of data science and offers principles for success in data science projects.","ISBN_13","9780262347037","True","True","282","BOOK","Computers","","","NOT_MATURE","True","1.3.3.0.preview.3","False","False","http://books.google.com/books/content?id=UlpVDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=UlpVDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=UlpVDwAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=2&source=gbs_api","https://play.google.com/store/books/details?id=UlpVDwAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=UlpVDwAAQBAJ","IN","FOR_SALE","True","1195.34","INR","597.67","INR","https://play.google.com/store/books/details?id=UlpVDwAAQBAJ&rdid=book-UlpVDwAAQBAJ&rdot=1&source=gbs_api","1","listPrice","1195340000","INR","IN","PARTIAL","True","False","ALLOWED","True","http://books.google.co.in/books/download/Data_Science-sample-epub.acsm?id=UlpVDwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","http://books.google.co.in/books/download/Data_Science-sample-pdf.acsm?id=UlpVDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","http://play.google.com/books/reader?id=UlpVDwAAQBAJ&hl=&source=gbs_api","SAMPLE","False","This volume in the MIT Press Essential Knowledge series offers a concise introduction to the emerging field of data science, explaining its evolution, current uses, data infrastructure issues, and ethical challenges."
"","","","","","","","","","","","","","","","ISBN_10","0262347032","","","","","","","","","","","","","","","","","","","","","","","","","","","","retailPrice","597670000","INR","","","","","","","","","","","","",""
"","","books#volume","WQw8EAAAQBAJ","Vvn89l9ReDg","https://www.googleapis.com/books/v1/volumes/WQw8EAAAQBAJ","Fundamentals of Data Science","","Sanjeev J. Wagh","Manisha S. Bhende","Anuradha D. Thakare","","CRC Press","2021-09-26","Fundamentals of Data Science is designed for students, academicians and practitioners with a complete walkthrough right from the foundational groundwork required to outlining all the concepts, techniques and tools required to understand Data Science. Data Science is an umbrella term for the non-traditional techniques and technologies that are required to collect, aggregate, process, and gain insights from massive datasets. This book offers all the processes, methodologies, various steps like data acquisition, pre-process, mining, prediction, and visualization tools for extracting insights from vast amounts of data by the use of various scientific methods, algorithms, and processes Readers will learn the steps necessary to create the application with SQl, NoSQL, Python, R, Matlab, Octave and Tablue. This book provides a stepwise approach to building solutions to data science applications right from understanding the fundamentals, performing data analytics to writing source code. All the concepts are discussed in simple English to help the community to become Data Scientist without much pre-requisite knowledge. Features : Simple strategies for developing statistical models that analyze data and detect patterns, trends, and relationships in data sets. Complete roadmap to Data Science approach with dedicatedsections which includes Fundamentals, Methodology and Tools. Focussed approach for learning and practice various Data Science Toolswith Sample code and examples for practice. Information is presented in an accessible way for students, researchers and academicians and professionals.","ISBN_13","9780429811463","True","True","286","BOOK","Business & Economics","","","NOT_MATURE","False","0.2.2.0.preview.3","False","False","http://books.google.com/books/content?id=WQw8EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=WQw8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=WQw8EAAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=3&source=gbs_api","https://play.google.com/store/books/details?id=WQw8EAAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=WQw8EAAAQBAJ","IN","FOR_SALE","True","6059.3","INR","6059.3","INR","https://play.google.com/store/books/details?id=WQw8EAAAQBAJ&rdid=book-WQw8EAAAQBAJ&rdot=1&source=gbs_api","1","listPrice","6059300000","INR","IN","PARTIAL","True","False","ALLOWED","True","http://books.google.co.in/books/download/Fundamentals_of_Data_Science-sample-epub.acsm?id=WQw8EAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","True","http://books.google.co.in/books/download/Fundamentals_of_Data_Science-sample-pdf.acsm?id=WQw8EAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","http://play.google.com/books/reader?id=WQw8EAAAQBAJ&hl=&source=gbs_api","SAMPLE","False","This book provides a stepwise approach to building solutions to data science applications right from understanding the fundamentals, performing data analytics to writing source code."
"","","","","","","","","","","","","","","","ISBN_10","0429811462","","","","","","","","","","","","","","","","","","","","","","","","","","","","retailPrice","6059300000","INR","","","","","","","","","","","","",""
"","","books#volume","NPGaEAAAQBAJ","wQU2LUMLCZw","https://www.googleapis.com/books/v1/volumes/NPGaEAAAQBAJ","Data Science for Engineers","","Raghunathan Rengaswamy","Resmi Suresh","","","CRC Press","2022-12-16","With tremendous improvement in computational power and availability of rich data, almost all engineering disciplines use data science at some level. This textbook presents material on data science comprehensively, and in a structured manner. It provides conceptual understanding of the fields of data science, machine learning, and artificial intelligence, with enough level of mathematical details necessary for the readers. This will help readers understand major thematic ideas in data science, machine learning and artificial intelligence, and implement first-level data science solutions to practical engineering problems. The book- Provides a systematic approach for understanding data science techniques Explain why machine learning techniques are able to cross-cut several disciplines. Covers topics including statistics, linear algebra and optimization from a data science perspective. Provides multiple examples to explain the underlying ideas in machine learning algorithms Describes several contemporary machine learning algorithms The textbook is primarily written for undergraduate and senior undergraduate students in different engineering disciplines including chemical engineering, mechanical engineering, electrical engineering, electronics and communications engineering for courses on data science, machine learning and artificial intelligence.","ISBN_13","9781000813319","False","True","361","BOOK","Technology & Engineering","","","NOT_MATURE","False","0.1.1.0.preview.1","False","False","http://books.google.com/books/content?id=NPGaEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=NPGaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=NPGaEAAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=4&source=gbs_api","http://books.google.co.in/books?id=NPGaEAAAQBAJ&dq=data+science&hl=&source=gbs_api","https://books.google.com/books/about/Data_Science_for_Engineers.html?hl=&id=NPGaEAAAQBAJ","IN","NOT_FOR_SALE","False","","","","","","","","","","IN","PARTIAL","True","False","ALLOWED","False","","True","http://books.google.co.in/books/download/Data_Science_for_Engineers-sample-pdf.acsm?id=NPGaEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","http://play.google.com/books/reader?id=NPGaEAAAQBAJ&hl=&source=gbs_api","SAMPLE","False","The book- Provides a systematic approach for understanding data science techniques Explain why machine learning techniques are able to cross-cut several disciplines."
"","","","","","","","","","","","","","","","ISBN_10","1000813312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","books#volume","Drz4EAAAQBAJ","zdm7MiixmRQ","https://www.googleapis.com/books/v1/volumes/Drz4EAAAQBAJ","Data Science","","Parveen Kumari","","","","BFC Publications","2024-03-02","Data science is the study of how to extract useful information from data for students, strategic planning, and other purposes by using cutting-edge analytics methods, and scientific principles. Data science combines a number of fields, such as information technology, preparing data, data mining, predictive analytics, machine learning, and data visualization, in addition to statistics, mathematics, and software development.","ISBN_13","9789357644723","False","True","140","BOOK","Science","","","NOT_MATURE","False","0.2.1.0.preview.1","False","False","http://books.google.com/books/content?id=Drz4EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books/content?id=Drz4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api","en","http://books.google.co.in/books?id=Drz4EAAAQBAJ&printsec=frontcover&dq=data+science&hl=&cd=5&source=gbs_api","https://play.google.com/store/books/details?id=Drz4EAAAQBAJ&source=gbs_api","https://play.google.com/store/books/details?id=Drz4EAAAQBAJ","IN","FOR_SALE","True","68","INR","68","INR","https://play.google.com/store/books/details?id=Drz4EAAAQBAJ&rdid=book-Drz4EAAAQBAJ&rdot=1&source=gbs_api","1","listPrice","68000000","INR","IN","PARTIAL","True","False","ALLOWED","False","","True","http://books.google.co.in/books/download/Data_Science-sample-pdf.acsm?id=Drz4EAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api","http://play.google.com/books/reader?id=Drz4EAAAQBAJ&hl=&source=gbs_api","SAMPLE","False","Data science is the study of how to extract useful information from data for students, strategic planning, and other purposes by using cutting-edge analytics methods, and scientific principles."
"","","","","","","","","","","","","","","","ISBN_10","9357644725","","","","","","","","","","","","","","","","","","","","","","","","","","","","retailPrice","68000000","INR","","","","","","","","","","","","",""
